City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kapoeta,SS,81.36,few clouds,4.7717,33.5903,Eastgate Hotel
7,Quisqueya,DO,89.49,broken clouds,18.5554,-69.4081,Pensión doña rosa
8,Harper,LR,79.02,overcast clouds,4.375,-7.7169,Screensaver
12,Tuban,ID,78.03,overcast clouds,-6.8976,112.0649,Hotel Mustika
17,Kapaa,US,76.98,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Bethel,US,83.28,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
20,Rikitea,PF,75.69,overcast clouds,-23.1203,-134.9692,People ThankYou
24,Fort Dodge,US,75.02,scattered clouds,42.4975,-94.168,"Country Inn & Suites by Radisson, Fort Dodge, IA"
25,Kuah,MY,80.58,very heavy rain,6.3265,99.8432,Azio Hotel
36,Pedernales,DO,87.53,scattered clouds,18.0384,-71.744,Hotel Costa Marina
42,Gigmoto,PH,80.64,broken clouds,13.7796,124.39,Cj's Travellers Inn
48,Alyangula,AU,76.03,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
49,El Alto,PE,76.66,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
53,Namibe,AO,77.23,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
54,Crowley,US,89.67,few clouds,30.2141,-92.3746,"Motel 6 Crowley, LA"
56,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
61,Bosconia,CO,83.93,overcast clouds,9.9689,-73.8836,Hotel Jorlin
62,La Romana,DO,88.16,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
67,Atuona,PF,78.1,few clouds,-9.8,-139.0333,Villa Enata
76,Butaritari,KI,80.73,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
77,Meadow Lake,US,85.6,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
93,Bardiyah,LY,75.31,clear sky,31.7561,25.0865,بورتو بردية
98,Sinnamary,GF,82.53,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
102,Mazagao,BR,89.13,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
103,Hilo,US,86.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
106,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
108,Flagstaff,US,76.3,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
115,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
117,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
119,Acarau,BR,81.95,broken clouds,-2.8856,-40.12,castelo pizzaria
123,Cabo San Lucas,MX,88.9,clear sky,22.8909,-109.9124,Vista Roof Restaurant
124,Cotonou,BJ,82.38,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
129,Hami,CN,76.87,scattered clouds,42.8,93.45,Laoyutang Resort
133,Victoria,HK,85.17,overcast clouds,22.2855,114.1577,Mini Central
136,Pemangkat,ID,78.75,broken clouds,1.1667,108.9667,Ramah Kost KITA
137,Macenta,GN,83.32,scattered clouds,8.5435,-9.471,Hôtel Yansané
140,Vanimo,PG,76.17,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
141,Biak,ID,75.67,overcast clouds,-0.9131,122.8766,Penginapan Kim
143,Manicore,BR,85.95,broken clouds,-5.8092,-61.3003,Hotel Durval
144,Nador,MA,77.07,few clouds,35.174,-2.9287,Hôtel La Giralda
145,Hithadhoo,MV,84.0,broken clouds,-0.6,73.0833,Scoop Guest House
147,Mayo,US,86.41,clear sky,38.8876,-76.5119,Resorts Resource Group International
150,Marsh Harbour,BS,75.2,light rain,26.5412,-77.0636,Abaco Beach Resort
153,Koutsouras,GR,78.12,clear sky,35.0339,25.9469,The White Houses
154,Mirador,BR,76.82,overcast clouds,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
165,Monte Carmelo,BR,82.47,scattered clouds,-18.7247,-47.4986,Park hotel
169,Barbastro,ES,80.78,scattered clouds,42.0356,0.1269,Gran Hotel Ciudad De Barbastro
171,Anloga,GH,82.49,overcast clouds,5.7947,0.8973,Pin Drop Hotel
173,Omboue,GA,75.52,overcast clouds,-1.5746,9.2618,Hotel Olako
175,Coruripe,BR,79.59,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
182,Santa Maria Del Oro,MX,83.43,clear sky,25.9333,-105.3667,Hotel Palacio Del Sol
188,Waingapu,ID,78.08,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
189,Palmas Bellas,PA,85.77,broken clouds,9.2319,-80.0867,Antigua Residencia Galván
196,Fort Smith,US,83.37,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
197,Xuddur,SO,77.99,broken clouds,4.1213,43.8894,Banjanay Hotel
199,Faya,SA,75.31,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
203,Cayenne,GF,87.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
209,Moerai,PF,75.88,broken clouds,-22.4333,-151.3333,Le Manotel
211,Umm Lajj,SA,85.48,broken clouds,25.0213,37.2685,Moon light Furnished Units
215,Kavaratti,IN,83.35,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
218,Natitingou,BJ,82.62,light rain,10.3042,1.3796,Cotonou
228,Mattru,SL,79.56,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
230,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
233,Porto De Moz,BR,87.15,overcast clouds,-1.7483,-52.2383,Dormitório labelle
235,Bengkulu,ID,75.76,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
242,Sao Filipe,CV,77.81,clear sky,14.8961,-24.4956,Hotel Xaguate
251,Faanui,PF,80.33,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
252,Dingle,PH,77.36,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
260,Le Vauclin,MQ,87.85,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
263,Namatanai,PG,78.67,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
265,Baculin,PH,77.81,broken clouds,7.4525,126.5842,Baculin Cove Beach Resort
268,Gushikawa,JP,78.8,scattered clouds,26.3544,127.8686,Kirari Guest House
270,Farkhor,TJ,75.63,clear sky,37.4922,69.4036,Khonai Abdulkhayrov
274,Awbari,LY,88.34,clear sky,26.5921,12.7805,فندق أوباري
277,Puerto Ayacucho,VE,75.09,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
281,Mae Chan,TH,78.46,overcast clouds,20.1467,99.8526,Kiang Dao Resort
282,Kirkwood,US,85.48,broken clouds,38.5834,-90.4068,"Holiday Inn St Louis SW - Route 66, an IHG Hotel"
286,El Reno,US,82.18,broken clouds,35.5323,-97.955,Home2 Suites by Hilton El Reno
289,Manadhoo,MV,82.63,clear sky,5.7667,73.3833,Bon Abri maldives
293,Puerto Leguizamo,CO,88.65,overcast clouds,-0.1934,-74.7819,la casona de juancho
298,Vicksburg,US,84.43,scattered clouds,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
306,Dunmore Town,BS,79.47,overcast clouds,25.5,-76.65,Coral Sands Hotel
309,Itarema,BR,81.95,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
319,Itaituba,BR,89.76,scattered clouds,-4.2761,-55.9836,Hotel Campos
320,Horn Lake,US,86.04,scattered clouds,34.9554,-90.0348,"Hilton Garden Inn Memphis/Southaven, MS"
321,Shieli,KZ,77.14,broken clouds,44.1667,66.75,Gostinitsa Aybek Shieli
322,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
323,Westport,US,84.15,clear sky,41.1415,-73.3579,The Westport Inn
332,Tual,ID,82.62,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
334,Alanya,TR,75.33,clear sky,36.5438,31.9998,Panorama Hotel
338,Bakonycsernye,HU,81.52,clear sky,47.324,18.0751,Tibor Vendégház Bakonycsernye
339,Hamilton,US,83.5,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
344,Bac Lieu,VN,79.54,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
348,Tecoanapa,MX,84.6,scattered clouds,16.5167,-98.75,Hotel Manglares
358,Kavieng,PG,80.67,broken clouds,-2.5744,150.7967,Nusa Island Retreat
360,Sur,OM,88.83,clear sky,22.5667,59.5289,Sur Plaza Hotel
362,Mindelo,CV,78.35,scattered clouds,16.8901,-24.9804,Hotel Gaudi
364,Mount Pleasant,US,85.3,broken clouds,32.7941,-79.8626,Best Western Patriots Point
369,Bonthe,SL,81.21,broken clouds,7.5264,-12.505,Bonthe Holiday Village
371,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
379,Independence,US,76.95,broken clouds,39.0911,-94.4155,Higher Ground Hotel
382,Limon,CR,87.69,clear sky,10.0,-83.0333,Hotel Playa Bonita
384,Rodrigues Alves,BR,80.8,overcast clouds,-7.738,-72.6509,Pousada Aconchego
