City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,70.32,30,20,10.36,few clouds
1,Dikson,RU,73.5069,80.5464,26.44,94,16,6.4,few clouds
2,New Norfolk,AU,-42.7826,147.0587,42.91,83,80,1.88,light rain
3,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,80,100,10.36,overcast clouds
4,Kapoeta,SS,4.7717,33.5903,81.36,37,20,10.98,few clouds
5,Saskylakh,RU,71.9167,114.0833,32.77,94,100,10.31,snow
6,Provideniya,RU,64.3833,-173.3,49.53,53,79,3.83,broken clouds
7,Quisqueya,DO,18.5554,-69.4081,89.49,53,53,12.84,broken clouds
8,Harper,LR,4.375,-7.7169,79.02,82,100,5.08,overcast clouds
9,Tiksi,RU,71.6872,128.8694,48.56,78,91,8.97,light rain
10,Busselton,AU,-33.65,115.3333,56.41,79,67,7.31,broken clouds
11,East London,ZA,-33.0153,27.9116,58.14,88,0,11.5,clear sky
12,Tuban,ID,-6.8976,112.0649,78.03,86,100,5.21,overcast clouds
13,Port Alfred,ZA,-33.5906,26.891,57.18,89,63,4.0,broken clouds
14,Stornoway,GB,58.2093,-6.3865,58.93,77,95,11.5,overcast clouds
15,Airai,TL,-8.9266,125.4092,59.49,93,97,1.41,overcast clouds
16,Bredasdorp,ZA,-34.5322,20.0403,58.15,90,98,3.69,overcast clouds
17,Kapaa,US,22.0752,-159.319,76.98,85,20,8.05,few clouds
18,Hermanus,ZA,-34.4187,19.2345,59.81,88,100,5.64,overcast clouds
19,Bethel,US,41.3712,-73.414,83.28,40,0,10.36,clear sky
20,Rikitea,PF,-23.1203,-134.9692,75.69,74,99,10.98,overcast clouds
21,Parabel,RU,58.6978,81.4825,35.51,93,100,9.4,overcast clouds
22,Clyde River,CA,70.4692,-68.5914,32.23,86,100,9.22,overcast clouds
23,Mar Del Plata,AR,-38.0023,-57.5575,57.22,68,20,12.66,light rain
24,Fort Dodge,US,42.4975,-94.168,75.02,60,40,12.66,scattered clouds
25,Kuah,MY,6.3265,99.8432,80.58,83,20,1.14,very heavy rain
26,Ushuaia,AR,-54.8,-68.3,38.82,65,20,2.3,few clouds
27,Kholodnyy,RU,62.7167,147.95,54.34,75,47,3.22,scattered clouds
28,Mehamn,NO,71.0357,27.8492,48.11,96,100,9.04,overcast clouds
29,Hasaki,JP,35.7333,140.8333,63.28,66,66,5.68,light rain
30,Mataura,NZ,-46.1927,168.8643,34.48,82,97,3.51,overcast clouds
31,Nikolskoye,RU,59.7035,30.7861,57.78,95,83,4.88,broken clouds
32,Geraldton,AU,-28.7667,114.6,52.21,62,100,9.22,overcast clouds
33,Asau,RO,46.4333,26.4,67.28,91,97,3.65,overcast clouds
34,Cape Town,ZA,-33.9258,18.4232,62.11,85,20,13.8,few clouds
35,Ribeira Grande,PT,38.5167,-28.7,66.6,94,75,20.71,mist
36,Pedernales,DO,18.0384,-71.744,87.53,62,37,13.18,scattered clouds
37,Vidim,RU,56.4088,103.1106,48.02,65,43,2.57,scattered clouds
38,Bluff,NZ,-46.6,168.3333,34.81,73,99,7.81,overcast clouds
39,Olafsvik,IS,64.8945,-23.7142,44.42,65,2,9.13,clear sky
40,Iqaluit,CA,63.7506,-68.5145,47.93,61,20,3.44,few clouds
41,Yumen,CN,40.2833,97.2,68.68,18,52,6.73,broken clouds
42,Gigmoto,PH,13.7796,124.39,80.64,81,51,3.69,broken clouds
43,Kloulklubed,PW,7.0419,134.2556,73.9,75,15,6.87,few clouds
44,Richards Bay,ZA,-28.783,32.0377,63.32,60,0,4.05,clear sky
45,Vardo,NO,70.3705,31.1107,42.78,100,100,2.3,overcast clouds
46,Castro,BR,-24.7911,-50.0119,58.33,78,93,6.67,overcast clouds
47,Cap Malheureux,MU,-19.9842,57.6142,73.47,71,43,8.99,scattered clouds
48,Alyangula,AU,-13.8483,136.4192,76.03,85,69,8.1,broken clouds
49,El Alto,PE,-4.2714,-81.2147,76.66,62,90,16.31,overcast clouds
50,Souillac,MU,-20.5167,57.5167,73.78,73,40,14.97,light rain
51,Port Elizabeth,ZA,-33.918,25.5701,61.32,83,0,13.8,clear sky
52,Meiganga,CM,6.5167,14.3,63.43,97,99,3.2,overcast clouds
53,Namibe,AO,-15.1961,12.1522,77.23,48,38,8.48,scattered clouds
54,Crowley,US,30.2141,-92.3746,89.67,75,24,3.85,few clouds
55,Severo-Kurilsk,RU,50.6789,156.125,41.05,92,77,6.29,broken clouds
56,Puerto Ayora,EC,-0.7393,-90.3518,80.56,82,82,9.8,broken clouds
57,Saint George,US,37.1041,-113.5841,91.44,13,0,8.05,clear sky
58,Ponta Do Sol,PT,32.6667,-17.1,69.71,74,41,3.85,scattered clouds
59,Huangnihe,CN,43.5583,128.0239,47.35,99,100,7.36,overcast clouds
60,Albany,US,42.6001,-73.9662,78.64,45,17,3.0,few clouds
61,Bosconia,CO,9.9689,-73.8836,83.93,68,100,7.09,overcast clouds
62,La Romana,DO,18.4273,-68.9728,88.16,74,20,17.27,few clouds
63,Vaini,TO,-21.2,-175.2,68.16,100,40,4.61,scattered clouds
64,Solwezi,ZM,-12.1688,26.3894,55.09,65,5,4.09,clear sky
65,Barrow,US,71.2906,-156.7887,28.42,86,100,25.32,overcast clouds
66,Chara,RU,56.9064,118.2631,55.89,71,100,2.66,overcast clouds
67,Atuona,PF,-9.8,-139.0333,78.1,76,19,18.1,few clouds
68,Kodiak,US,57.79,-152.4072,72.91,23,0,11.5,clear sky
69,Khash,IR,28.2211,61.2158,74.46,17,0,16.6,clear sky
70,Eureka,US,40.8021,-124.1637,65.59,91,100,7.07,overcast clouds
71,Qaanaaq,GL,77.484,-69.3632,28.71,77,92,5.17,overcast clouds
72,Chapais,CA,49.7834,-74.8492,58.78,52,100,5.75,overcast clouds
73,Beloha,MG,-25.1667,45.05,67.01,79,14,14.45,few clouds
74,Shirokiy,RU,49.758,129.523,45.27,87,7,5.32,clear sky
75,Upernavik,GL,72.7868,-56.1549,31.53,72,41,16.64,scattered clouds
76,Butaritari,KI,3.0707,172.7902,80.73,69,31,9.08,scattered clouds
77,Meadow Lake,US,34.8014,-106.5436,85.6,9,26,11.01,scattered clouds
78,Ballina,AU,-28.8667,153.5667,52.02,85,94,4.52,overcast clouds
79,Hobart,AU,-42.8794,147.3294,43.27,90,40,3.44,moderate rain
