City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Georgetown,MY,2022-06-01 17:44:46,5.4112,100.3354,81.95,93,40,1.14
1,Butaritari,KI,2022-06-01 17:44:46,3.0707,172.7902,80.69,79,100,9.26
2,Jamestown,US,2022-06-01 17:44:47,42.097,-79.2353,83.05,59,40,12.66
3,Deputatskiy,RU,2022-06-01 17:44:47,69.3,139.9,33.24,94,100,5.08
4,Saskylakh,RU,2022-06-01 17:44:48,71.9167,114.0833,31.01,91,100,14.52
5,Qaanaaq,GL,2022-06-01 17:44:48,77.484,-69.3632,28.15,62,47,6.93
6,San Quintin,MX,2022-06-01 17:44:49,30.4833,-115.95,67.77,61,28,10.13
7,Mar Del Plata,AR,2022-06-01 17:44:49,-38.0023,-57.5575,53.62,73,40,14.97
8,Luderitz,NA,2022-06-01 17:44:50,-26.6481,15.1594,66.4,33,0,10.4
9,Provideniya,RU,2022-06-01 17:44:50,64.3833,-173.3,42.12,81,62,2.64
10,Saint George,US,2022-06-01 17:44:51,37.1041,-113.5841,78.64,19,0,8.05
11,Cape Town,ZA,2022-06-01 17:44:23,-33.9258,18.4232,60.12,83,0,3.44
12,Port Alfred,ZA,2022-06-01 17:44:51,-33.5906,26.891,57.18,80,45,1.01
13,Nikolskoye,RU,2022-06-01 17:44:52,59.7035,30.7861,66.09,63,99,4.83
14,Vaini,TO,2022-06-01 17:44:52,-21.2,-175.2,73.56,88,20,4.61
15,Tiksi,RU,2022-06-01 17:44:53,71.6872,128.8694,31.3,88,100,2.06
16,Kapaa,US,2022-06-01 17:44:53,22.0752,-159.319,74.12,97,100,13.8
17,Ushuaia,AR,2022-06-01 17:44:54,-54.8,-68.3,37.02,82,98,1.5
18,Tuatapere,NZ,2022-06-01 17:44:54,-46.1333,167.6833,52.59,91,100,6.62
19,Busselton,AU,2022-06-01 17:44:55,-33.65,115.3333,58.8,82,58,10.8
20,Buala,SB,2022-06-01 17:44:55,-8.145,159.5921,76.66,85,91,2.86
21,Kushima,JP,2022-06-01 17:44:56,31.4583,131.2333,63.14,94,99,4.5
22,Bilibino,RU,2022-06-01 17:44:56,68.0546,166.4372,54.36,50,100,4.14
23,Avarua,CK,2022-06-01 17:44:57,-21.2078,-159.775,73.45,68,75,9.22
24,Mataura,NZ,2022-06-01 17:44:57,-46.1927,168.8643,52.48,85,94,4.12
25,Tasiilaq,GL,2022-06-01 17:44:58,65.6145,-37.6368,37.56,99,100,1.66
26,Dikson,RU,2022-06-01 17:44:58,73.5069,80.5464,28.9,96,100,21.65
27,Cidreira,BR,2022-06-01 17:44:59,-30.1811,-50.2056,54.14,72,100,3.13
28,Padang,ID,2022-06-01 17:44:59,-0.9492,100.3543,76.24,90,71,4.18
29,Troitskoye,RU,2022-06-01 17:45:00,52.9821,84.6757,48.36,90,95,16.46
30,Tibacuy,CO,2022-06-01 17:45:00,4.3511,-72.4564,80.83,75,92,8.63
31,Ponta Do Sol,PT,2022-06-01 17:45:01,32.6667,-17.1,73.71,70,13,10.67
32,Punta Arenas,CL,2022-06-01 17:45:02,-53.15,-70.9167,39.31,75,20,12.66
33,Hatillo,PR,2022-06-01 17:45:02,18.4863,-66.8254,86.07,68,32,10.0
34,Arraial Do Cabo,BR,2022-06-01 17:45:03,-22.9661,-42.0278,82.36,78,20,10.36
35,Qesarya,IL,2022-06-01 17:45:04,32.5189,34.9046,73.35,82,0,3.0
36,Havre-Saint-Pierre,CA,2022-06-01 17:45:05,50.2334,-63.5986,57.56,38,75,19.57
